
  _real,_time |   _totl,_time |   missn,_time |   timer,_time |   _zulu,_time |   local,_time |   hobbs,_time |   _Vind,_kias |   _Vind,_keas |   Vtrue,_ktas |   Vtrue,_ktgs |   _Vind,__mph |   Vtrue,mphas |   Vtrue,mphgs |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   __mag,_comp |   mavar,__deg |   alpha,__deg |   _beta,__deg |   hpath,__deg |   vpath,__deg |   _slip,__deg |   __L/D,ratio |   ___cl,total |   ___cd,total |   wing1,_lift |   wing1,_lift |   wing2,_lift |   wing2,_lift |   hstab,_lift |   hstab,_lift |   vstb1,_lift |   vstb2,_lift | 
      0.00820 |       0.02874 |       0.02874 |       0.00000 |      20.54858 |      15.54858 |     299.93591 |      -6.32275 |       0.37816 |       0.36296 |       0.36296 |      -7.27610 |       0.41769 |       0.41769 |       3.11912 |      -0.00248 |     118.15153 |     131.06860 |       0.00000 |      12.91708 |     -87.39684 |       0.77459 |     354.56979 |      86.93405 |       0.00000 |          -nan |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
      6.10885 |       0.93774 |       0.93774 |       0.00000 |      20.54887 |      15.54887 |     299.93591 |      -2.52940 |       0.00013 |       0.00013 |       0.00013 |      -2.91079 |       0.00015 |       0.00015 |       2.21759 |      -0.19532 |     118.15320 |     131.07028 |      78.67348 |      12.91708 |     -87.78239 |      -0.19517 |     180.00000 |       0.37389 |      -0.00804 |      -0.07314 |    1878.36023 |  -25681.09180 |      -0.00000 |       0.00000 |      -0.00002 |       0.00001 |      -0.00000 |      -0.00000 |      -0.00001 |      -0.00000 | 
      7.09747 |       1.86054 |       1.86054 |       0.00000 |      20.54916 |      15.54916 |     299.93591 |      -0.99526 |       0.00007 |       0.00006 |       0.00006 |      -1.14533 |       0.00007 |       0.00007 |       2.28617 |      -0.20220 |     118.15299 |     131.07007 |     110.41643 |      12.91708 |      92.28618 |       0.20204 |     180.00000 |      -0.18421 |      -0.00638 |      -0.39507 |     -16.68784 |      42.24006 |      -0.00000 |       0.00000 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |      -0.00000 |      -0.00000 | 
      8.10844 |       2.87209 |       2.87209 |       0.00000 |      20.54947 |      15.54947 |     299.93591 |      -0.35827 |       0.00003 |       0.00003 |       0.00003 |      -0.41229 |       0.00004 |       0.00004 |       2.28671 |      -0.20246 |     118.15299 |     131.07007 |     123.59636 |      12.91708 |     -87.71327 |      -0.20230 |     180.00000 |       0.09761 |      -0.00495 |      -1.57281 |     -36.55304 |      23.24061 |      -0.00000 |       0.00000 |      -0.00000 |       0.00000 |      -0.00000 |      -0.00000 |       0.00000 |       0.00000 | 
      9.10889 |       3.87255 |       3.87255 |       0.00000 |      20.54979 |      15.54979 |     299.93591 |      -0.13038 |       0.00003 |       0.00002 |       0.00002 |      -0.15004 |       0.00003 |       0.00003 |       2.28675 |      -0.20227 |     118.15299 |     131.07007 |     128.31152 |      12.91708 |     -87.71323 |      -0.20211 |     180.00000 |       0.07236 |      -0.00385 |      -0.38334 |      79.76860 |    -208.08835 |      -0.00000 |       0.00000 |      -0.00000 |       0.00000 |      -0.00000 |      -0.00000 |      -0.00000 |      -0.00000 | 
     10.10796 |       4.86939 |       4.86939 |       0.00000 |      20.55011 |      15.55011 |     299.93591 |      -0.04763 |       0.00001 |       0.00001 |       0.00001 |      -0.05482 |       0.00001 |       0.00001 |       2.28668 |      -0.20228 |     118.15299 |     131.07007 |     130.02359 |      12.91708 |      92.28669 |       0.20211 |     180.00000 |      -0.03274 |      -0.00300 |      -0.39209 |    -235.92996 |     601.73010 |      -0.00000 |       0.00000 |      -0.00000 |       0.00000 |      -0.00000 |      -0.00000 |      -0.00000 |      -0.00000 | 
     11.12828 |       5.94599 |       5.94599 |       0.00000 |      20.55026 |      15.55026 |     299.93591 |      -0.04041 |       0.00000 |       0.00000 |       0.00000 |      -0.04651 |       0.00000 |       0.00000 |       2.28641 |      -0.20228 |     118.15299 |     131.07007 |     130.17299 |      12.91708 |     -87.71357 |      -0.20212 |     180.00000 |       0.01140 |      -0.00288 |      -0.17891 |  -10520.38379 |   58803.25000 |       0.00000 |      -0.00000 |       0.00000 |      -0.00000 |      -0.00000 |      -0.00000 |      -0.00000 |      -0.00000 | 
     12.10816 |       6.87847 |       6.87847 |       0.00000 |      20.55043 |      15.55043 |     299.93591 |      -0.03609 |       0.00001 |       0.00001 |       0.00001 |      -0.04153 |       0.00001 |       0.00001 |       2.28633 |      -0.20215 |     118.15299 |     131.07007 |     130.26248 |      12.91708 |     -87.71365 |      -0.20199 |     180.00000 |       0.03634 |      -0.00280 |      -0.53505 |    -228.20500 |     426.51266 |       0.00000 |      -0.00000 |       0.00000 |      -0.00000 |      -0.00000 |      -0.00000 |      -0.00000 |      -0.00000 | 
     13.10865 |       7.87066 |       7.87066 |       0.00000 |      20.55074 |      15.55074 |     299.93591 |      -0.01325 |       0.00002 |       0.00002 |       0.00002 |      -0.01524 |       0.00002 |       0.00002 |       2.28679 |      -0.20237 |     118.15302 |     131.07010 |     130.73511 |      12.91708 |      92.28680 |       0.20220 |     180.00000 |      -0.06295 |      -0.00218 |      -0.11659 |    -195.02322 |    1672.71387 |      -0.00000 |       0.00000 |      -0.00000 |       0.00000 |      -0.00000 |      -0.00000 |      -0.00000 |      -0.00000 | 
     14.09903 |       8.35626 |       8.35626 |       0.00000 |      20.55088 |      15.55088 |     299.93591 |      -0.00811 |       0.00004 |       0.00004 |       0.00004 |      -0.00933 |       0.00004 |       0.00004 |       2.28649 |      -0.20234 |     118.15303 |     131.07011 |     130.84146 |      12.91708 |     -87.71349 |      -0.20218 |     180.00000 |       0.10943 |      -0.00193 |      -2.14350 |       3.29421 |      -1.53684 |      -0.00000 |      -0.00000 |      -0.00000 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
